Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC
15  Elliot Daly,80,0,0,0,0,0,85,12,0,265,68,1,0,3,0,2,2,50,0,1,1,0,0,0,0,0,0,0,0
14  Anthony Watson,75,0,0,0,0,0,17,3,0,0,100,0,0,1,0,4,1,80,0,0,2,0,0,0,0,0,0,0,0
13  Henry Slade,80,0,0,0,0,0,47,4,0,48,87,3,0,0,0,7,3,70,0,0,0,2,1,1,0,0,0,0,0
12  Ollie Lawrence,69,0,0,0,0,0,2,1,0,0,100,0,0,0,0,5,1,83,0,0,1,0,0,0,0,0,0,0,0
11  Jonny May,80,0,0,0,0,0,25,6,0,22,85,0,0,0,0,4,2,66,0,0,4,0,0,0,0,0,0,0,0
10  Owen Farrell,80,0,0,0,2,0,38,6,0,265,74,17,0,1,0,5,3,62,0,0,0,3,0,0,0,0,0,0,0
9  Ben Youngs,55,0,0,0,0,0,25,2,0,212,70,19,0,0,0,5,0,100,0,0,1,1,0,0,0,0,0,0,0
1  Ellis Genge,71,0,0,0,0,0,7,2,0,0,100,1,0,1,0,15,2,88,0,0,0,0,2,0,0,0,0,0,0
2  Jamie George,55,0,0,0,0,0,8,3,0,19,75,1,1,0,0,7,1,87,0,0,0,0,1,0,0,0,0,0,0
3  Will Stuart,62,0,0,0,0,0,12,3,0,0,100,1,0,0,0,14,0,100,7,0,0,0,1,0,0,0,0,0,0
4  Maro Itoje,80,0,0,0,0,0,15,5,0,0,100,1,0,0,0,15,3,83,11,0,2,0,3,0,0,4,0,0,0
5  Jonny Hill,80,0,0,0,0,0,5,2,0,0,100,3,0,0,0,20,2,90,4,1,0,0,2,0,0,4,0,0,0
6  Mark Wilson,52,0,0,0,0,0,7,2,0,0,100,1,0,0,0,17,2,89,5,0,0,0,0,0,0,0,0,0,0
7  Tom Curry,80,0,0,0,0,0,40,9,0,0,100,0,0,2,0,16,3,84,5,0,0,0,3,0,0,0,0,0,0
8  Billy Vunipola,57,0,0,0,0,0,10,3,0,0,100,3,1,1,0,8,3,72,0,0,0,0,1,0,0,0,0,1,0
Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16  Luke Cowan-Dickie,25,0,0,0,0,0,15,3,0,0,100,0,0,1,0,1,1,50,0,0,0,0,0,0,0,0,0,0,0
17  Beno Obano,9,0,0,0,0,0,1,1,0,0,100,0,0,0,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0
18  Harry Williams,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,100,0,0,0,0,0,0,0,0,0,0,0
19  Courtney Lawes,28,0,0,0,0,0,9,2,0,0,100,0,0,0,0,4,0,100,0,0,0,0,0,0,0,3,0,0,0
20  Ben Earl,13,0,0,0,0,0,5,1,0,0,100,1,0,1,0,3,0,100,0,0,0,0,0,0,0,0,0,0,0
21  Dan Robson,25,0,0,0,0,0,0,0,0,134,80,29,0,0,0,1,0,100,0,0,1,1,0,0,0,0,0,0,0
22  George Ford,11,0,0,0,0,0,0,0,0,71,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23  Max Malins,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP - Minutes Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T - Tries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA - Try assists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C - Conversions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P - Penalty Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG - Drop Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M - Metres Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - Carries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK(%) - Possession Kicked (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK - Metres Kicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH(%) - Ball played by hand (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM - Passes Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O - Offloads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTs - Broken Tackles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kon - Knock Ons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM - Tackles made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT - Missed Tackles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS(%) - Tackle success (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT(%) - Dominant Tackles (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW - Turnovers won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC - Turnovers conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HE - Handling errors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC - Pens conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPC - Offside penalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC - Scrum penalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW - Lineouts Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS - Lineouts stolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YC - Yellow Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC - Red Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
